what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445389625287
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445389651762
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445389666985
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445389670878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389705366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389718727
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445389722538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389759702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389767724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389769991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389781134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445389794977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445389797331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445389809007
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445389818026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389818502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445389848859
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445389872510
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445389873653
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445389882645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445389906360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445389908113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445389917761
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445389920930
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445389923717
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390065185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390065563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390080405
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445390080531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390086677
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445390092182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390092317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390099399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390100544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390100847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390102475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390103122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390107412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390109830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390131463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390160116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390160462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390279107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390313800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390338644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445390346272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445390349849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390351568
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390354785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390355193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390374167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390397670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390399790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390437566
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390446107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390446520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390477506
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445390503553
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445390504782
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445390535045
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390540876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390542392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390543700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390555304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1445390557602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1445390557914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1445390558468
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390604437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390604881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390625071
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390663334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390663817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390683061
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445390684491
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390685810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445390698847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445390698879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390704998
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390709179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390709575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390728097
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390807387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445390827985
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390847960
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445390850340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390865571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390935286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445390967848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445390976672
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445390980536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390981025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445390993546
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445390993579
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445391003647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391007895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391009790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391010212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391021720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445391033479
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445391037072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391037581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391056424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391203029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391203939
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445391370947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391371262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391379993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445391385250
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445391387851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391388181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391404209
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445391415664
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445391416278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391418186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391424695
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445391429087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391436592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391449055
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445391451706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1445391452672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445391453603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445391456861
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445391460049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391460365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391472045
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445391483405
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445391483905
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445391496037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391525555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445391663053
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445391664516
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445391671079
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445391690372
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445391718474
