what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449114890379
java.version,sysinfo,,,"1.6.0_23",1449114890379
java.vm.info,sysinfo,,,"mixed mode",1449114890379
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1449114890379
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449114890379
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449114890379
java.vm.specification.version,sysinfo,,,"1.0",1449114890379
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449114890379
java.vm.version,sysinfo,,,"19.0-b09",1449114890379
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1449114891538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449114891812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449114894517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449114895777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449114897153
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449114897368
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1449114897476
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1449114897478
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1449114897541
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1449114897596
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1449114897597
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1449114897598
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1449114897602
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449114897603
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1449114897603
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1449114897603
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1449114897603
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1449114897603
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1449114897604
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1449114897604
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449114897604
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449114897605
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1449114897605
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1449114897606
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1449114897606
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1449114897607
